name,age,height_cm,weight_kgs,positions,nationality,overall_rating,international_reputation,body_type,national_team,national_rating,freekick_accuracy,sprint_speed,shot_power,strength,penalties,preferred_foot,value_euro
Iniesta,34,170.18,68,"CM,LM",Spain,85,4,Normal,,,70,66,67,58,71,Right,18500000
Z. Ibrahimović,37,195.58,94.8,ST,Sweden,85,5,Normal,,,82,59,90,86,89,Right,14000000
Jorginho,27,154.94,67.1,CM,Italy,83,2,Lean,Italy,83,76,61,71,66,84,Right,30000000
E. Višća,29,172.72,63,"RM,RW",Bosnia Herzegovina,83,2,Lean,,,60,89,79,58,75,Right,26000000
S. Gnabry,23,175.26,74.8,"LM,RM,CAM,LW",Germany,83,2,Normal,Germany,85,62,90,85,68,68,Right,34000000
M. Kovačić,24,175.26,78,CM,Croatia,83,3,Normal,,,68,74,79,65,59,Right,35000000
William Carvalho,26,187.96,83,"CDM,CM",Portugal,83,3,Normal,Portugal,82,50,67,70,92,60,Right,27000000
Felipe,29,190.5,86.2,CB,Brazil,83,3,Normal,,,30,67,46,86,47,Right,22500000
Y. Carrasco,25,154.94,73,LM,Belgium,83,3,Lean,Dalian YiFang FC,64,78,87,84,59,74,Right,33000000
Lucas Vázquez,27,172.72,69.9,"RW,RM",Spain,83,2,Normal,,,71,82,80,57,56,Right,27000000
Q. Promes,27,175.26,72.1,"LM,ST,RM",Netherlands,83,2,Lean,Netherlands,81,76,91,82,61,74,Right,28000000
L. Goretzka,24,187.96,78.9,"CM,CAM,CDM",Germany,83,3,Lean,Germany,85,75,79,78,72,60,Right,34000000
A. Rabiot,23,193.04,79.8,"CM,CDM",France,83,2,Lean,,,59,74,80,80,67,Left,33000000
A. Romagnoli,24,187.96,78,CB,Italy,83,2,Normal,,,24,69,64,81,34,Left,31000000
João Cancelo,24,182.88,73.9,RB,Portugal,83,2,Lean,Portugal,82,69,91,80,66,46,Right,29500000
Anderson Talisca,25,190.5,79.8,CAM,Brazil,83,2,Normal,,,87,76,84,72,71,Left,34000000
K. Coman,22,152.4,71.2,"LM,RM,LW,RW",France,83,2,Lean,,,70,93,78,63,70,Right,34500000
T. Lemar,23,170.18,62.1,"LM,CAM,RM",France,83,3,Lean,France,84,81,84,79,63,68,Left,35500000
J. Tah,23,195.58,97.1,CB,Germany,82,2,Stocky,Germany,85,27,77,44,93,38,Right,25000000
M. Politano,25,170.18,67.1,"RM,LM,ST",Italy,82,2,Normal,,,77,86,78,45,70,Left,28000000
C. Lenglet,23,185.42,81.2,CB,France,82,1,Lean,,,27,73,58,80,43,Left,26000000
Pau López,24,187.96,77.1,GK,Spain,82,1,Lean,Spain,85,21,52,21,52,25,Left,21500000
H. Lozano,23,175.26,69.9,"RW,LW",Mexico,82,3,Lean,Mexico,77,65,93,76,59,64,Right,29500000
Malcom,22,172.72,73.9,RW,Brazil,82,2,Normal,,,81,82,85,64,68,Left,31500000
L. Torreira,23,167.64,64,"CDM,CM",Uruguay,82,2,Normal,Uruguay,81,78,74,78,66,48,Right,25000000
Gonçalo Guedes,22,152.4,68,"LM,ST,RM,LW",Portugal,82,1,Normal,Portugal,82,70,90,81,62,69,Right,29000000
G. Lo Celso,22,175.26,69.9,"CM,CAM,CDM",Argentina,82,1,Lean,Argentina,82,72,79,80,69,60,Left,30000000
Fabián,22,187.96,69.9,"CM,CDM,CAM",Spain,82,1,Lean,,,59,67,75,70,67,Left,32000000
F. de Jong,21,154.94,69.9,"CM,CDM,CB",Netherlands,82,1,Lean,Netherlands,81,64,78,68,69,45,Right,31000000
Raphaelito Anjos,31,190.5,84.8,GK,Brazil,82,1,Normal,Brazil,81,18,42,21,79,14,Right,14000000
Juiano Mestres,35,154.94,82.1,"CB,CDM",Brazil,82,1,Normal,Brazil,81,58,74,74,79,62,Right,6500000
Rosberto Dourado,31,175.26,69.9,"CDM,CM",Brazil,82,1,Lean,Brazil,81,57,81,60,68,77,Right,16500000
Arthur,22,170.18,73,CM,Brazil,82,1,Normal,,,60,70,76,62,69,Right,32500000
Rodri,22,190.5,82.1,"CM,CDM",Spain,82,1,Lean,Spain,85,54,66,70,75,46,Right,29000000
M. Parolo,34,182.88,74.8,"CDM,CM",Italy,82,2,Lean,,,55,69,87,77,45,Right,9000000
M. Kruse,30,154.94,76.2,"CF,ST,CAM",Germany,82,2,Normal,,,69,67,81,72,91,Left,21500000
J. Henderson,28,182.88,79.8,"CDM,CM",England,82,2,Normal,England,82,74,66,77,72,64,Right,18000000
N. Gaitán,31,172.72,66.2,CAM,Argentina,82,3,Lean,,,72,79,72,46,71,Left,21000000
M. Arnautović,29,193.04,83,ST,Austria,82,3,Normal,Austria,77,72,83,84,84,77,Right,22000000
S. Giovinco,32,162.56,60.8,"CF,ST",Italy,82,2,Normal,Al Hilal,74,93,80,80,42,73,Right,20000000
G. Sigurðsson,29,185.42,77.1,CAM,Iceland,82,3,Normal,Iceland,72,86,55,83,68,79,Right,22500000
Giuliano,28,172.72,68,"CAM,RW",Brazil,82,2,Stocky,,,71,77,78,74,79,Right,22500000
P. Gulácsi,28,193.04,86.2,GK,Hungary,82,2,Normal,Hungary,73,11,44,23,68,24,Right,18000000
Luiz Gustavo,31,187.96,78,"CDM,CB",Brazil,82,3,Lean,,,60,62,78,81,58,Left,16500000
K. Trippier,28,152.4,72.1,"RB,RWB",England,82,2,Normal,England,82,83,75,75,65,66,Right,18500000
A. Ramsey,28,182.88,76.2,"CM,CDM,CAM",Wales,82,3,Lean,Wales,75,66,69,81,67,75,Right,23000000
M. Balotelli,28,187.96,88,ST,Italy,82,4,Normal,,,78,80,89,86,92,Right,23500000
Marlos,30,175.26,68.9,RM,Ukraine,82,2,Normal,,,72,82,77,62,80,Left,21000000
Taison,31,172.72,64,"LM,CAM",Brazil,82,2,Lean,,,73,91,83,62,72,Right,21000000
G. Bonaventura,29,154.94,74.8,"CM,LW",Italy,82,3,Lean,,,78,77,84,66,68,Right,22000000
G. Kondogbia,26,187.96,79.8,"CM,CDM",Central African Rep.,81,2,Lean,,,56,76,86,91,45,Left,22000000
J. Roussillon,26,175.26,79.8,"LB,LWB,LM",France,81,2,Stocky,,,56,85,75,77,51,Left,18000000
S. Zaza,27,185.42,83.9,ST,Italy,81,2,Normal,,,56,79,85,88,79,Left,21000000
S. Vrsaljko,27,154.94,76.2,RB,Croatia,81,2,Lean,,,57,79,75,73,52,Right,15000000
C. Kramer,28,190.5,76.2,"CDM,CM",Germany,81,2,Lean,,,51,52,54,69,47,Right,17000000
B. Mendy,24,185.42,84.8,LB,France,81,2,Normal,,,34,86,79,81,50,Left,20000000
M. Sabitzer,24,152.4,77.1,"CAM,CM",Austria,81,2,Normal,Austria,77,63,77,86,76,65,Right,22500000
M. Nastasić,25,187.96,83,CB,Serbia,81,2,Normal,,,68,77,44,78,52,Left,18500000
A. Plea,25,154.94,78.9,"ST,LW",France,81,2,Stocky,,,74,77,83,77,65,Right,22000000
M. Ginter,25,187.96,83,"CB,CDM",Germany,81,2,Normal,Germany,85,42,69,74,82,67,Right,18500000
Gerard Moreno,26,154.94,77.1,ST,Spain,81,1,Lean,,,56,79,80,74,75,Left,22000000
A. Doucouré,26,182.88,76.2,"CDM,CM",France,81,2,Lean,,,42,70,84,81,54,Right,19500000
R. Guerreiro,25,170.18,71.2,"LM,LB,CM",Portugal,81,3,Normal,,,82,68,79,49,44,Left,22500000
Ricardo Pereira,25,175.26,69.9,"RB,RM",Portugal,81,3,Lean,,,45,87,68,60,60,Right,18500000
Samu Castillejo,24,182.88,67.1,"RM,LM,CM",Spain,81,2,Lean,,,75,86,78,50,59,Left,23000000
J. Brandt,22,185.42,83.9,"LM,RM,CAM",Germany,81,2,Lean,Germany,85,59,84,80,69,54,Right,25000000
N. Pépé,23,182.88,73,"RM,RW,ST",Ivory Coast,80,1,Lean,,,65,91,80,61,85,Left,22000000
S. Bergwijn,21,152.4,78,"LW,RW",Netherlands,80,1,Stocky,Netherlands,81,66,89,78,79,59,Right,20500000
A. Onana,22,187.96,93,GK,Cameroon,80,2,Stocky,Cameroon,75,17,62,21,67,27,Right,14500000
F. Balbuena,27,187.96,84.8,CB,Paraguay,80,1,Normal,,,34,65,71,84,48,Right,15500000
André Silva,23,185.42,78.9,ST,Portugal,80,2,Normal,Portugal,82,33,78,76,74,80,Right,21000000
Oyarzabal,21,154.94,78,"LW,LM,RW",Spain,80,1,Lean,,,71,75,73,59,52,Left,21000000
Everton Andrão,35,152.4,74.8,"CDM,CM",Brazil,80,1,Stocky,Brazil,81,73,68,72,71,61,Right,4500000
Welington Dano,31,152.4,68.9,"LB,LM",Brazil,80,1,Lean,Brazil,81,52,80,55,68,61,Left,10500000
Richarlison,21,154.94,71.2,"ST,LW,LM",Brazil,80,1,Normal,,,65,86,80,77,69,Right,21000000
Odriozola,23,175.26,66.2,RB,Spain,80,1,Lean,,,30,82,58,63,62,Right,18500000
Carlos Soler,22,154.94,76.2,"RM,CM",Spain,80,1,Lean,,,82,77,77,65,73,Right,21000000
H. Aouar,20,175.26,69.9,"CM,LM",France,80,1,Lean,,,59,79,61,61,63,Right,23500000
T. Ndombele,22,154.94,76.2,"CM,CDM",France,80,1,Normal,France,84,63,76,80,78,60,Right,22500000
M. Gómez,22,185.42,83.9,ST,Uruguay,80,1,Normal,Uruguay,81,53,65,79,80,67,Right,20500000
Joaquín,37,152.4,74.8,"LM,ST,RM",Spain,81,2,Normal,,,77,66,74,65,75,Right,6000000
J. Mathieu,35,187.96,83.9,CB,France,81,3,Normal,,,79,74,80,89,72,Left,5500000
J. Matip,27,193.04,89.8,CB,Cameroon,80,2,Lean,,,22,69,66,77,42,Right,15000000
S. Aurier,26,175.26,76.2,"RB,RWB",Ivory Coast,80,2,Normal,Côte d'Ivoire,75,30,78,71,74,64,Right,15500000
J. Guilavogui,28,187.96,77.1,"CDM,CM",France,80,2,Lean,,,53,72,78,82,50,Right,14000000
A. Oxlade-Chamberlain,25,175.26,69.9,"CM,RM",England,80,2,Stocky,,,60,85,80,72,69,Right,19500000
M. Ryan,26,182.88,82.1,GK,Australia,80,1,Normal,Australia,73,12,52,35,68,25,Right,13000000
V. Aboubakar,27,182.88,82.1,ST,Cameroon,80,3,Normal,FC Porto,81,67,83,81,85,76,Right,17500000
L. Muriel,27,152.4,78.9,ST,Colombia,80,2,Stocky,Colombia,79,60,89,80,77,74,Right,17500000
D. Vida,29,182.88,76.2,"CB,RB",Croatia,80,3,Lean,,,35,80,54,77,51,Right,11500000
Ibai Gómez,29,152.4,72.1,"RM,RW,LM",Spain,80,1,Normal,,,81,77,83,66,65,Right,15000000
Cristian Tello,27,152.4,64.9,"LM,RM",Spain,80,2,Lean,,,72,89,79,58,56,Right,16000000
Ismaily,29,152.4,82.1,LB,Brazil,80,1,Stocky,,,50,80,75,75,51,Left,11500000
A. Mandi,27,182.88,78,CB,Algeria,80,1,Lean,,,49,68,52,74,35,Right,15500000
C. Tătăruşanu,33,195.58,86.2,GK,Romania,80,2,Lean,Romania,72,11,47,14,73,16,Right,8500000
J. Murillo,26,182.88,78,CB,Colombia,80,2,Normal,Colombia,79,26,76,68,80,46,Right,16000000
E. Dier,25,187.96,89.8,"CDM,CB,CM",England,80,2,Normal,England,82,74,68,82,89,70,Right,16500000
J. Butland,25,195.58,94.8,GK,England,80,2,Normal,England,82,14,55,29,79,42,Right,14000000
S. Sorrentino,39,185.42,84.8,GK,Italy,80,2,Normal,,,11,40,21,74,20,Right,1000000
W. Rooney,33,175.26,83,ST,England,80,4,Stocky,,,83,65,85,78,81,Right,12000000
Moyá,34,187.96,83,GK,Spain,80,2,Normal,,,12,34,21,57,11,Right,6000000
L. López,36,175.26,72.1,ST,Argentina,80,2,Normal,,,73,83,77,75,82,Right,7000000
J. Mascherano,34,175.26,73,"CDM,CB",Argentina,80,4,Normal,,,50,62,76,72,60,Right,4500000
Raffael,33,175.26,68.9,"CF,ST",Brazil,80,2,Lean,,,77,61,77,62,72,Right,9500000
Diego López,37,195.58,88.9,GK,Spain,80,3,Lean,,,11,52,22,66,21,Right,2000000
Juanfran,34,154.94,71.2,RB,Spain,80,3,Lean,,,59,83,68,74,66,Right,5500000
I. Denisov,34,175.26,69.9,CDM,Russia,80,2,Normal,,,54,65,71,64,62,Right,4500000
I. Akinfeev,32,185.42,78,GK,Russia,80,3,Normal,Russia,77,13,50,24,72,10,Right,8500000
A. Gignac,33,187.96,91.2,ST,France,80,3,Stocky,,,70,68,84,90,78,Right,12000000
A. Granqvist,33,193.04,83.9,CB,Sweden,80,2,Normal,,,40,49,74,83,79,Right,
Manuel Fernandes,33,175.26,74.8,"LM,CAM",Portugal,80,2,Normal,,,70,76,81,71,73,Right,11500000
Dante,35,187.96,84.8,CB,Brazil,80,3,Normal,,,55,41,64,81,57,Left,4500000
L. Perrin,33,154.94,79.8,CB,France,80,2,Normal,,,51,60,65,78,68,Right,8500000
Borja Valero,34,175.26,73,"CAM,CDM",Spain,80,3,Normal,,,76,52,72,66,72,Right,9000000
A. Januzaj,24,185.42,76.2,"RW,RM",Belgium,79,1,Lean,Belgium,85,65,76,74,59,60,Left,17500000
J. Hector,28,185.42,74.8,"LB,CDM",Germany,79,3,Normal,Germany,85,65,77,69,76,65,Left,10000000
M. Dabbur,26,182.88,76.2,ST,Israel,79,2,Normal,,,66,76,76,78,74,Right,15500000
Óliver Torres,24,175.26,63,CM,Spain,79,3,Normal,,,64,65,65,38,64,Right,16500000
Y. Bounou,27,193.04,78,GK,Morocco,79,1,Lean,,,19,34,25,69,24,Left,10500000
J. Hofmann,26,175.26,69.9,"CAM,RM,LM",Germany,79,2,Lean,,,71,76,68,60,68,Right,15000000
Otávio,24,172.72,71.2,"RM,CAM,CM",Brazil,79,1,Normal,,,72,74,67,54,72,Right,17500000
Jonny,25,170.18,69.9,LWB,Spain,79,2,Normal,,,54,78,68,64,46,Right,13500000
L. Dendoncker,23,187.96,88,"CDM,CB,CM",Belgium,79,2,Normal,Belgium,85,71,68,86,87,44,Right,14500000
R. Zobnin,25,182.88,74.8,"CDM,CM,LM",Russia,79,1,Lean,Russia,77,65,78,65,63,57,Right,15000000
Ricardo Horta,24,172.72,63,LM,Portugal,79,1,Lean,,,70,75,78,45,71,Right,17000000
Thiago Mendes,26,152.4,79.8,"CDM,CM,RM",Brazil,79,1,Normal,,,77,82,81,66,60,Right,13500000
J. Lerma,24,152.4,69.9,"CDM,CM",Colombia,79,1,Lean,Colombia,79,65,76,82,76,58,Right,14000000
J. Gbamin,23,185.42,83,"CDM,CM,CB",Ivory Coast,79,1,Normal,,,60,85,82,83,40,Right,14500000
I. Marcone,28,182.88,83,CDM,Argentina,79,1,Normal,,,60,34,73,85,59,Right,11500000
D. Benedetto,28,152.4,79.8,ST,Argentina,79,2,Normal,,,60,83,82,76,72,Right,13000000
M. Hitz,31,193.04,88.9,GK,Switzerland,79,2,Normal,,,17,46,38,78,22,Right,8000000
N. Clyne,27,175.26,67.1,RB,England,79,2,Normal,,,39,78,74,67,46,Right,11500000
A. Ljajić,27,182.88,73.9,"CAM,LW",Serbia,79,2,Lean,,,83,76,78,58,75,Right,15000000
J. Guðmundsson,28,152.4,77.1,"RM,LM",Iceland,79,1,Normal,Iceland,72,77,77,82,70,70,Left,13000000
Elkeson,29,154.94,77.1,"ST,CAM",Brazil,79,2,Stocky,,,80,76,86,77,85,Right,13000000
Kike García,29,185.42,78.9,ST,Spain,79,1,Normal,,,46,66,82,79,70,Right,13000000
Escudero,29,175.26,72.1,"LB,LM",Spain,79,1,Lean,,,69,77,81,69,66,Left,10000000
Herrerín,31,187.96,94.8,GK,Spain,79,1,Normal,,,12,39,22,80,25,Right,8000000
Víctor Ruiz,30,185.42,78,CB,Spain,79,2,Normal,,,46,59,59,80,46,Left,10000000
G. Medel,31,170.18,64.9,"CDM,CB",Chile,79,3,Stocky,Chile,77,45,70,65,83,58,Right,9500000
Y. Belhanda,29,152.4,74.8,"CAM,LW",Morocco,79,2,Normal,,,78,72,78,63,80,Right,12500000
Hugo Mallo,27,175.26,72.1,RB,Spain,79,2,Normal,,,38,71,74,69,23,Right,10500000
Borja García,28,175.26,72.1,"LM,CM",Spain,79,1,Normal,,,54,77,67,67,62,Right,13000000
W. Khazri,28,175.26,82.1,"ST,CF,CAM,LM",Tunisia,79,1,Stocky,,,79,77,85,68,75,Right,13500000
P. Jones,27,185.42,71.2,CB,England,79,2,Normal,,,35,59,68,79,55,Right,12000000
A. Finnbogason,30,182.88,79.8,ST,Iceland,79,2,Normal,Iceland,72,51,68,78,78,89,Right,12500000
Vinícius Júnior,18,175.26,73,"LW,RW",Brazil,78,1,Lean,,,62,94,74,64,65,Right,20500000
Junior Firpo,22,182.88,74.8,"LWB,LB,CB,LM",Spain,78,1,Normal,,,43,82,68,75,38,Left,12500000
E. Belözoğlu,38,170.18,72.1,"CM,CDM",Turkey,79,2,Stocky,,,80,38,77,64,85,Left,4000000
Fernando Torres,34,185.42,78.9,ST,Spain,79,3,Normal,,,63,77,83,74,74,Right,6500000
B. Schweinsteiger,34,182.88,78.9,"CDM,CB,CM",Germany,79,4,Normal,,,74,37,81,75,77,Right,5000000
B. Yılmaz,33,187.96,77.1,ST,Turkey,79,2,Lean,,,70,79,85,79,79,Right,10000000
M. Gómez,33,187.96,88.9,ST,Germany,79,3,Normal,,,36,66,84,86,69,Right,10000000
A. Young,33,175.26,64.9,"RB,LB",England,79,2,Lean,England,82,75,74,75,67,60,Right,7000000
R. Babel,32,185.42,84.8,LW,Netherlands,79,3,Normal,Netherlands,81,50,82,85,78,70,Right,11000000
B. Costil,31,187.96,88,GK,France,79,2,Normal,,,11,53,22,65,15,Right,8000000
S. Kalou,33,182.88,77.1,"LM,ST,RM",Ivory Coast,79,3,Lean,,,62,65,76,67,85,Right,10000000
E. Lavezzi,33,172.72,74.8,"ST,CAM",Argentina,79,3,Stocky,,,79,83,79,71,69,Right,8000000
H. Ben Arfa,32,152.4,73.9,"CAM,ST",France,79,3,Lean,,,73,69,78,65,84,Left,11000000
B. Foster,35,193.04,89.8,GK,England,79,2,Normal,,,17,48,27,57,41,Left,3000000
T. Heaton,32,187.96,92.1,GK,England,79,2,Normal,,,13,55,14,66,24,Right,7000000
Charles,34,152.4,74.8,ST,Brazil,79,1,Normal,,,53,63,83,71,70,Right,6500000
G. Cahill,33,193.04,88,CB,England,79,3,Normal,,,27,46,63,81,53,Right,7000000
A. Iwobi,22,185.42,74.8,"LM,RM,LW",Nigeria,78,1,Normal,,,40,80,70,72,59,Right,14000000
R. Loftus-Cheek,23,190.5,88,"CM,LM",England,78,1,Normal,,,57,74,65,80,45,Right,14500000
A. Selikhov,24,187.96,84.8,GK,Russia,78,1,Normal,,,15,48,25,65,19,Right,9500000
J. Mojica,26,185.42,73,"LWB,LM,LB",Colombia,78,1,Lean,,,68,90,80,70,67,Left,10500000
W. Barrios,25,152.4,71.2,"CDM,CM",Colombia,78,1,Lean,,,31,71,53,77,32,Right,
C. Izquierdoz,30,185.42,88.9,CB,Argentina,78,1,Normal,,,26,50,55,80,51,Right,8000000
W. Benítez,26,190.5,91.2,GK,Argentina,78,1,Normal,,,17,48,25,80,25,Right,9500000
N. Maksimović,27,193.04,87.1,CB,Serbia,78,2,Lean,,,23,68,39,86,26,Right,11000000
A. Mitrović,24,187.96,82.1,ST,Serbia,78,1,Stocky,,,52,66,82,90,70,Right,14000000
M. Sportiello,26,193.04,87.1,GK,Italy,78,2,Lean,,,21,38,19,66,21,Right,8500000
Capa,26,175.26,74.8,RB,Spain,78,1,Stocky,,,58,86,81,80,54,Right,10500000
Marcelo Goiano,31,175.26,68.9,"RB,LB",Brazil,78,1,Lean,,,34,75,71,64,41,Right,7500000
Y. Tielemans,21,175.26,72.1,"CM,CDM",Belgium,78,2,Normal,Belgium,85,74,53,88,69,76,Right,16000000
S. Lobotka,24,170.18,64,"CM,CDM",Slovakia,78,1,Normal,,,55,66,62,59,56,Right,14000000
M. Philipp,25,182.88,78.9,"ST,CF,LM,CAM",Germany,78,2,Lean,,,65,79,82,68,73,Right,14000000
L. Dubois,24,152.4,73,"RB,RWB",France,78,1,Lean,,,56,76,72,71,46,Right,11000000
L. Dunk,27,193.04,88,CB,England,78,1,Normal,,,39,50,72,82,36,Right,11000000
C. Schindler,28,187.96,77.1,CB,Germany,78,1,Normal,,,33,65,52,78,55,Right,10000000
Y. Konoplyanka,29,152.4,78,"LM,LW,ST",Ukraine,78,2,Normal,,,80,79,76,63,75,Right,10500000
Pedro Mendes,28,185.42,78,CB,Portugal,78,1,Normal,,,52,64,67,79,35,Right,10000000
R. Saponara,27,182.88,73,CAM,Italy,78,2,Normal,,,70,75,72,69,68,Right,11000000
L. Kurzawa,26,182.88,76.2,"LB,LWB",France,78,2,Lean,,,53,74,69,72,54,Left,10500000
M. Hinteregger,26,182.88,83,CB,Austria,78,2,Stocky,Austria,77,63,73,83,83,64,Left,10500000
D. da Costa,25,187.96,88,"RWB,RB,RM",Germany,78,1,Normal,,,49,84,65,80,40,Right,10500000
Fernando,27,175.26,79.8,"CDM,CM",Brazil,78,1,Stocky,,,84,76,76,69,61,Right,10500000
W. Boly,28,195.58,97.1,CB,France,78,1,Normal,,,35,69,52,93,56,Right,10000000
A. Schwolow,26,187.96,83.9,GK,Germany,78,1,Normal,,,16,38,21,67,22,Right,8500000
G. Defrel,27,152.4,77.1,"ST,RW",France,78,2,Lean,,,69,87,79,58,69,Left,11000000
Álvaro,29,182.88,74.8,CB,Spain,78,1,Lean,,,45,73,48,74,36,Right,9500000
L. Bittencourt,25,170.18,62.1,"CAM,CM,LM",Germany,78,2,Lean,,,70,79,70,48,61,Right,13000000
A. Carrillo,27,154.94,78,"RM,RW",Peru,78,2,Normal,Al Hilal,74,55,86,76,72,68,Right,11000000
M. Elyounoussi,24,152.4,69.9,"LM,CAM,RM",Norway,78,1,Normal,Norway,75,64,78,76,62,64,Right,14000000
O. Karnezis,33,190.5,81.2,GK,Greece,78,2,Normal,,,11,34,22,66,21,Right,6000000
De Marcos,29,182.88,79.8,"RB,RW",Spain,78,2,Lean,,,53,87,73,73,55,Right,8000000
R. Cabella,29,170.18,71.2,CAM,France,78,2,Lean,,,78,77,73,50,72,Right,10500000
J. Hart,31,195.58,91.2,GK,England,78,3,Normal,,,13,60,40,61,30,Right,6500000
Jurado,32,175.26,72.1,"RM,CAM,LM",Spain,78,2,Normal,,,78,67,76,57,66,Right,8000000
